time_min,Pb2+_conc_mg_L,E_coli_cfu_ml,E_coli_log_reduction
0.0,50.0,100000.0,0.0
1.0,49.72222222222222,82540.41852680185,0.08333333333333333
2.0,49.44444444444444,68129.20690579613,0.16666666666666666
3.0,49.166666666666664,56234.13251903491,0.25
4.0,48.888888888888886,46415.888336127784,0.3333333333333333
5.0,48.611111111111114,38311.868495572875,0.4166666666666667
6.0,48.333333333333336,31622.776601683792,0.5
7.0,48.05555555555556,26101.57215682537,0.5833333333333334
8.0,47.77777777777778,21544.34690031884,0.6666666666666666
9.0,47.5,17782.794100389227,0.75
10.0,47.22222222222222,14677.992676220694,0.8333333333333334
11.0,46.94444444444444,12115.276586285885,0.9166666666666666
12.0,46.666666666666664,10000.0,1.0
13.0,46.388888888888886,8254.041852680186,1.0833333333333333
14.0,46.111111111111114,6812.920690579611,1.1666666666666667
15.0,45.833333333333336,5623.413251903491,1.25
16.0,45.55555555555556,4641.58883361278,1.3333333333333333
17.0,45.27777777777778,3831.186849557287,1.4166666666666667
18.0,45.0,3162.2776601683795,1.5
19.0,44.72222222222222,2610.157215682537,1.5833333333333333
20.0,44.44444444444444,2154.4346900318833,1.6666666666666667
21.0,44.166666666666664,1778.2794100389228,1.75
22.0,43.888888888888886,1467.79926762207,1.8333333333333333
23.0,43.611111111111114,1211.5276586285881,1.9166666666666667
24.0,43.333333333333336,1000.0,2.0
25.0,43.05555555555556,825.4041852680182,2.0833333333333335
26.0,42.77777777777778,681.2920690579615,2.1666666666666665
27.0,42.5,562.341325190349,2.25
28.0,42.22222222222222,464.15888336127773,2.3333333333333335
29.0,41.94444444444444,383.1186849557289,2.4166666666666665
30.0,41.666666666666664,316.2277660168379,2.5
31.0,41.388888888888886,261.0157215682536,2.5833333333333335
32.0,41.111111111111114,215.44346900318845,2.6666666666666665
33.0,40.83333333333333,177.8279410038923,2.75
34.0,40.55555555555556,146.7799267622069,2.8333333333333335
35.0,40.27777777777778,121.15276586285889,2.9166666666666665
36.0,40.0,100.0,3.0
37.0,39.72222222222222,82.54041852680182,3.0833333333333335
38.0,39.44444444444444,68.12920690579615,3.1666666666666665
39.0,39.166666666666664,56.23413251903491,3.25
40.0,38.888888888888886,46.41588833612777,3.3333333333333335
41.0,38.611111111111114,38.31186849557289,3.4166666666666665
42.0,38.33333333333333,31.622776601683793,3.5
43.0,38.05555555555556,26.10157215682536,3.5833333333333335
44.0,37.77777777777778,21.544346900318846,3.6666666666666665
45.0,37.5,17.78279410038923,3.75
46.0,37.22222222222222,14.67799267622069,3.8333333333333335
47.0,36.94444444444444,12.115276586285887,3.9166666666666665
48.0,36.666666666666664,10.0,4.0
49.0,36.388888888888886,8.25404185268019,4.083333333333333
50.0,36.111111111111114,6.812920690579609,4.166666666666667
51.0,35.83333333333333,5.623413251903491,4.25
52.0,35.55555555555556,4.641588833612782,4.333333333333333
53.0,35.27777777777778,3.8311868495572847,4.416666666666667
54.0,35.0,3.1622776601683795,4.5
55.0,34.72222222222222,2.6101572156825386,4.583333333333333
56.0,34.44444444444444,2.1544346900318825,4.666666666666667
57.0,34.166666666666664,1.7782794100389228,4.75
58.0,33.888888888888886,1.4677992676220706,4.833333333333333
59.0,33.611111111111114,1.2115276586285877,4.916666666666667
60.0,33.33333333333333,1.0,5.0
61.0,33.05555555555556,1.0,5.0
62.0,32.77777777777778,1.0,5.0
63.0,32.5,1.0,5.0
64.0,32.22222222222222,1.0,5.0
65.0,31.944444444444443,1.0,5.0
66.0,31.666666666666664,1.0,5.0
67.0,31.38888888888889,1.0,5.0
68.0,31.11111111111111,1.0,5.0
69.0,30.833333333333332,1.0,5.0
70.0,30.555555555555554,1.0,5.0
71.0,30.27777777777778,1.0,5.0
72.0,30.0,1.0,5.0
73.0,29.72222222222222,1.0,5.0
74.0,29.444444444444443,1.0,5.0
75.0,29.166666666666664,1.0,5.0
76.0,28.88888888888889,1.0,5.0
77.0,28.61111111111111,1.0,5.0
78.0,28.333333333333332,1.0,5.0
79.0,28.055555555555554,1.0,5.0
80.0,27.77777777777778,1.0,5.0
81.0,27.5,1.0,5.0
82.0,27.22222222222222,1.0,5.0
83.0,26.944444444444443,1.0,5.0
84.0,26.666666666666664,1.0,5.0
85.0,26.38888888888889,1.0,5.0
86.0,26.11111111111111,1.0,5.0
87.0,25.833333333333332,1.0,5.0
88.0,25.555555555555554,1.0,5.0
89.0,25.277777777777775,1.0,5.0
90.0,25.0,1.0,5.0
