time_min,Pb2+_conc_mg_L,Pb2+_adsorbed_mg_g,Pb2+_saturation_pct,E_coli_cfu_ml,E_coli_log_reduction
0.0,50.0,0.0,0.0,10000.0,0.0
1.0,0.0,530.5,100.0,3414.5488738336016,0.4666666666666667
2.0,0.0,530.5,100.0,1165.9144011798317,0.9333333333333333
3.0,0.0,530.5,100.0,398.1071705534973,1.4
4.0,0.0,530.5,100.0,135.93563908785254,1.8666666666666667
5.0,0.0,530.5,100.0,46.41588833612777,2.3333333333333335
6.0,0.0,530.5,100.0,15.848931924611142,2.8
7.0,0.0,530.5,100.0,5.411695265464637,3.2666666666666666
8.0,0.0,530.5,100.0,1.8478497974222907,3.7333333333333334
9.0,0.0,530.5,100.0,0.630957344480193,4.2
10.0,0.0,530.5,100.0,0.21544346900318823,4.666666666666667
11.0,0.0,530.5,100.0,0.07356422544596405,5.133333333333334
12.0,0.0,530.5,100.0,0.025118864315095822,5.6
13.0,0.0,530.5,100.0,0.008576958985908947,6.066666666666666
14.0,0.0,530.5,100.0,0.002928644564625237,6.533333333333333
15.0,0.0,530.5,100.0,0.001,7.0
16.0,0.0,530.5,100.0,0.001,7.0
17.0,0.0,530.5,100.0,0.001,7.0
18.0,0.0,530.5,100.0,0.001,7.0
19.0,0.0,530.5,100.0,0.001,7.0
20.0,0.0,530.5,100.0,0.001,7.0
21.0,0.0,530.5,100.0,0.001,7.0
22.0,0.0,530.5,100.0,0.001,7.0
23.0,0.0,530.5,100.0,0.001,7.0
24.0,0.0,530.5,100.0,0.001,7.0
25.0,0.0,530.5,100.0,0.001,7.0
26.0,0.0,530.5,100.0,0.001,7.0
27.0,0.0,530.5,100.0,0.001,7.0
28.0,0.0,530.5,100.0,0.001,7.0
29.0,0.0,530.5,100.0,0.001,7.0
30.0,0.0,530.5,100.0,0.001,7.0
31.0,0.0,530.5,100.0,0.001,7.0
32.0,0.0,530.5,100.0,0.001,7.0
33.0,0.0,530.5,100.0,0.001,7.0
34.0,0.0,530.5,100.0,0.001,7.0
35.0,0.0,530.5,100.0,0.001,7.0
36.0,0.0,530.5,100.0,0.001,7.0
37.0,0.0,530.5,100.0,0.001,7.0
38.0,0.0,530.5,100.0,0.001,7.0
39.0,0.0,530.5,100.0,0.001,7.0
40.0,0.0,530.5,100.0,0.001,7.0
41.0,0.0,530.5,100.0,0.001,7.0
42.0,0.0,530.5,100.0,0.001,7.0
43.0,0.0,530.5,100.0,0.001,7.0
44.0,0.0,530.5,100.0,0.001,7.0
45.0,0.0,530.5,100.0,0.001,7.0
46.0,0.0,530.5,100.0,0.001,7.0
47.0,0.0,530.5,100.0,0.001,7.0
48.0,0.0,530.5,100.0,0.001,7.0
49.0,0.0,530.5,100.0,0.001,7.0
50.0,0.0,530.5,100.0,0.001,7.0
51.0,0.0,530.5,100.0,0.001,7.0
52.0,0.0,530.5,100.0,0.001,7.0
53.0,0.0,530.5,100.0,0.001,7.0
54.0,0.0,530.5,100.0,0.001,7.0
55.0,0.0,530.5,100.0,0.001,7.0
56.0,0.0,530.5,100.0,0.001,7.0
57.0,0.0,530.5,100.0,0.001,7.0
58.0,0.0,530.5,100.0,0.001,7.0
59.0,0.0,530.5,100.0,0.001,7.0
60.0,0.0,530.5,100.0,0.001,7.0
