time_min,Pb2+_conc_mg_L,Pb2+_adsorbed_mg_g,Pb2+_saturation_pct,E_coli_cfu_ml,E_coli_log_reduction
0.0,50.0,0.0,0.0,10000.0,0.0
1.0,0.0,987.3,100.0,5011.872336272723,0.3
2.0,0.0,987.3,100.0,2511.8864315095802,0.6
3.0,0.0,987.3,100.0,1258.925411794167,0.9
4.0,0.0,987.3,100.0,630.9573444801933,1.2
5.0,0.0,987.3,100.0,316.22776601683796,1.5
6.0,0.0,987.3,100.0,158.48931924611134,1.8
7.0,0.0,987.3,100.0,79.43282347242813,2.1
8.0,0.0,987.3,100.0,39.810717055349734,2.4
9.0,0.0,987.3,100.0,19.95262314968879,2.7
10.0,0.0,987.3,100.0,10.0,3.0
11.0,0.0,987.3,100.0,5.011872336272725,3.3
12.0,0.0,987.3,100.0,2.5118864315095797,3.6
13.0,0.0,987.3,100.0,1.2589254117941675,3.9
14.0,0.0,987.3,100.0,0.630957344480193,4.2
15.0,0.0,987.3,100.0,0.31622776601683794,4.5
16.0,0.0,987.3,100.0,0.15848931924611143,4.8
17.0,0.0,987.3,100.0,0.07943282347242822,5.1
18.0,0.0,987.3,100.0,0.03981071705534969,5.4
19.0,0.0,987.3,100.0,0.01995262314968879,5.7
20.0,0.0,987.3,100.0,0.01,6.0
21.0,0.0,987.3,100.0,0.01,6.0
22.0,0.0,987.3,100.0,0.01,6.0
23.0,0.0,987.3,100.0,0.01,6.0
24.0,0.0,987.3,100.0,0.01,6.0
25.0,0.0,987.3,100.0,0.01,6.0
26.0,0.0,987.3,100.0,0.01,6.0
27.0,0.0,987.3,100.0,0.01,6.0
28.0,0.0,987.3,100.0,0.01,6.0
29.0,0.0,987.3,100.0,0.01,6.0
30.0,0.0,987.3,100.0,0.01,6.0
31.0,0.0,987.3,100.0,0.01,6.0
32.0,0.0,987.3,100.0,0.01,6.0
33.0,0.0,987.3,100.0,0.01,6.0
34.0,0.0,987.3,100.0,0.01,6.0
35.0,0.0,987.3,100.0,0.01,6.0
36.0,0.0,987.3,100.0,0.01,6.0
37.0,0.0,987.3,100.0,0.01,6.0
38.0,0.0,987.3,100.0,0.01,6.0
39.0,0.0,987.3,100.0,0.01,6.0
40.0,0.0,987.3,100.0,0.01,6.0
41.0,0.0,987.3,100.0,0.01,6.0
42.0,0.0,987.3,100.0,0.01,6.0
43.0,0.0,987.3,100.0,0.01,6.0
44.0,0.0,987.3,100.0,0.01,6.0
45.0,0.0,987.3,100.0,0.01,6.0
46.0,0.0,987.3,100.0,0.01,6.0
47.0,0.0,987.3,100.0,0.01,6.0
48.0,0.0,987.3,100.0,0.01,6.0
49.0,0.0,987.3,100.0,0.01,6.0
50.0,0.0,987.3,100.0,0.01,6.0
51.0,0.0,987.3,100.0,0.01,6.0
52.0,0.0,987.3,100.0,0.01,6.0
53.0,0.0,987.3,100.0,0.01,6.0
54.0,0.0,987.3,100.0,0.01,6.0
55.0,0.0,987.3,100.0,0.01,6.0
56.0,0.0,987.3,100.0,0.01,6.0
57.0,0.0,987.3,100.0,0.01,6.0
58.0,0.0,987.3,100.0,0.01,6.0
59.0,0.0,987.3,100.0,0.01,6.0
60.0,0.0,987.3,100.0,0.01,6.0
