time_min,Pb2+_conc_mg_L,Pb2+_adsorbed_mg_g,Pb2+_saturation_pct,E_coli_cfu_ml,E_coli_log_reduction
0.0,50.0,0.0,0.0,10000.0,0.0
1.0,0.0,250.0,100.0,7356.422544596414,0.13333333333333333
2.0,0.0,250.0,100.0,5411.695265464637,0.26666666666666666
3.0,0.0,250.0,100.0,3981.0717055349724,0.4
4.0,0.0,250.0,100.0,2928.644564625237,0.5333333333333333
5.0,0.0,250.0,100.0,2154.4346900318837,0.6666666666666666
6.0,0.0,250.0,100.0,1584.8931924611134,0.8
7.0,0.0,250.0,100.0,1165.9144011798317,0.9333333333333333
8.0,0.0,250.0,100.0,857.6958985908942,1.0666666666666667
9.0,0.0,250.0,100.0,630.9573444801933,1.2
10.0,0.0,250.0,100.0,464.158883361278,1.3333333333333333
11.0,0.0,250.0,100.0,341.45488738336024,1.4666666666666666
12.0,0.0,250.0,100.0,251.18864315095794,1.6
13.0,0.0,250.0,100.0,184.78497974222907,1.7333333333333334
14.0,0.0,250.0,100.0,135.93563908785254,1.8666666666666667
15.0,0.0,250.0,100.0,100.0,2.0
16.0,0.0,250.0,100.0,73.56422544596413,2.1333333333333333
17.0,0.0,250.0,100.0,54.116952654646376,2.2666666666666666
18.0,0.0,250.0,100.0,39.810717055349734,2.4
19.0,0.0,250.0,100.0,29.286445646252375,2.533333333333333
20.0,0.0,250.0,100.0,21.544346900318846,2.6666666666666665
21.0,0.0,250.0,100.0,15.848931924611142,2.8
22.0,0.0,250.0,100.0,11.659144011798322,2.933333333333333
23.0,0.0,250.0,100.0,8.576958985908936,3.066666666666667
24.0,0.0,250.0,100.0,6.309573444801931,3.2
25.0,0.0,250.0,100.0,4.641588833612777,3.3333333333333335
26.0,0.0,250.0,100.0,3.414548873833601,3.466666666666667
27.0,0.0,250.0,100.0,2.5118864315095797,3.6
28.0,0.0,250.0,100.0,1.8478497974222907,3.7333333333333334
29.0,0.0,250.0,100.0,1.3593563908785256,3.8666666666666667
30.0,0.0,250.0,100.0,1.0,4.0
31.0,0.0,250.0,100.0,0.7356422544596406,4.133333333333334
32.0,0.0,250.0,100.0,0.5411695265464637,4.266666666666667
33.0,0.0,250.0,100.0,0.3981071705534969,4.4
34.0,0.0,250.0,100.0,0.29286445646252374,4.533333333333333
35.0,0.0,250.0,100.0,0.21544346900318823,4.666666666666667
36.0,0.0,250.0,100.0,0.15848931924611143,4.8
37.0,0.0,250.0,100.0,0.1165914401179831,4.933333333333334
38.0,0.0,250.0,100.0,0.08576958985908946,5.066666666666666
39.0,0.0,250.0,100.0,0.0630957344480193,5.2
40.0,0.0,250.0,100.0,0.04641588833612782,5.333333333333333
41.0,0.0,250.0,100.0,0.034145488738336005,5.466666666666667
42.0,0.0,250.0,100.0,0.025118864315095822,5.6
43.0,0.0,250.0,100.0,0.018478497974222907,5.733333333333333
44.0,0.0,250.0,100.0,0.01359356390878527,5.866666666666666
45.0,0.0,250.0,100.0,0.01,6.0
46.0,0.0,250.0,100.0,0.01,6.0
47.0,0.0,250.0,100.0,0.01,6.0
48.0,0.0,250.0,100.0,0.01,6.0
49.0,0.0,250.0,100.0,0.01,6.0
50.0,0.0,250.0,100.0,0.01,6.0
51.0,0.0,250.0,100.0,0.01,6.0
52.0,0.0,250.0,100.0,0.01,6.0
53.0,0.0,250.0,100.0,0.01,6.0
54.0,0.0,250.0,100.0,0.01,6.0
55.0,0.0,250.0,100.0,0.01,6.0
56.0,0.0,250.0,100.0,0.01,6.0
57.0,0.0,250.0,100.0,0.01,6.0
58.0,0.0,250.0,100.0,0.01,6.0
59.0,0.0,250.0,100.0,0.01,6.0
60.0,0.0,250.0,100.0,0.01,6.0
