time_min,Pb2+_conc_mg_L,Pb2+_adsorbed_mg_g,Pb2+_saturation_pct,E_coli_cfu_ml,E_coli_log_reduction
0.0,50.0,0.0,0.0,100000.0,0.0
1.0,0.0,138.5,100.0,82540.41852680185,0.08333333333333333
2.0,0.0,138.5,100.0,68129.20690579613,0.16666666666666666
3.0,0.0,138.5,100.0,56234.13251903491,0.25
4.0,0.0,138.5,100.0,46415.888336127784,0.3333333333333333
5.0,0.0,138.5,100.0,38311.868495572875,0.4166666666666667
6.0,0.0,138.5,100.0,31622.776601683792,0.5
7.0,0.0,138.5,100.0,26101.57215682537,0.5833333333333334
8.0,0.0,138.5,100.0,21544.34690031884,0.6666666666666666
9.0,0.0,138.5,100.0,17782.794100389227,0.75
10.0,0.0,138.5,100.0,14677.992676220694,0.8333333333333334
11.0,0.0,138.5,100.0,12115.276586285885,0.9166666666666666
12.0,0.0,138.5,100.0,10000.0,1.0
13.0,0.0,138.5,100.0,8254.041852680186,1.0833333333333333
14.0,0.0,138.5,100.0,6812.920690579611,1.1666666666666667
15.0,0.0,138.5,100.0,5623.413251903491,1.25
16.0,0.0,138.5,100.0,4641.58883361278,1.3333333333333333
17.0,0.0,138.5,100.0,3831.186849557287,1.4166666666666667
18.0,0.0,138.5,100.0,3162.2776601683795,1.5
19.0,0.0,138.5,100.0,2610.157215682537,1.5833333333333333
20.0,0.0,138.5,100.0,2154.4346900318833,1.6666666666666667
21.0,0.0,138.5,100.0,1778.2794100389228,1.75
22.0,0.0,138.5,100.0,1467.79926762207,1.8333333333333333
23.0,0.0,138.5,100.0,1211.5276586285881,1.9166666666666667
24.0,0.0,138.5,100.0,1000.0,2.0
25.0,0.0,138.5,100.0,825.4041852680182,2.0833333333333335
26.0,0.0,138.5,100.0,681.2920690579615,2.1666666666666665
27.0,0.0,138.5,100.0,562.341325190349,2.25
28.0,0.0,138.5,100.0,464.15888336127773,2.3333333333333335
29.0,0.0,138.5,100.0,383.1186849557289,2.4166666666666665
30.0,0.0,138.5,100.0,316.2277660168379,2.5
31.0,0.0,138.5,100.0,261.0157215682536,2.5833333333333335
32.0,0.0,138.5,100.0,215.44346900318845,2.6666666666666665
33.0,0.0,138.5,100.0,177.8279410038923,2.75
34.0,0.0,138.5,100.0,146.7799267622069,2.8333333333333335
35.0,0.0,138.5,100.0,121.15276586285889,2.9166666666666665
36.0,0.0,138.5,100.0,100.0,3.0
37.0,0.0,138.5,100.0,82.54041852680182,3.0833333333333335
38.0,0.0,138.5,100.0,68.12920690579615,3.1666666666666665
39.0,0.0,138.5,100.0,56.23413251903491,3.25
40.0,0.0,138.5,100.0,46.41588833612777,3.3333333333333335
41.0,0.0,138.5,100.0,38.31186849557289,3.4166666666666665
42.0,0.0,138.5,100.0,31.622776601683793,3.5
43.0,0.0,138.5,100.0,26.10157215682536,3.5833333333333335
44.0,0.0,138.5,100.0,21.544346900318846,3.6666666666666665
45.0,0.0,138.5,100.0,17.78279410038923,3.75
46.0,0.0,138.5,100.0,14.67799267622069,3.8333333333333335
47.0,0.0,138.5,100.0,12.115276586285887,3.9166666666666665
48.0,0.0,138.5,100.0,10.0,4.0
49.0,0.0,138.5,100.0,8.25404185268019,4.083333333333333
50.0,0.0,138.5,100.0,6.812920690579609,4.166666666666667
51.0,0.0,138.5,100.0,5.623413251903491,4.25
52.0,0.0,138.5,100.0,4.641588833612782,4.333333333333333
53.0,0.0,138.5,100.0,3.8311868495572847,4.416666666666667
54.0,0.0,138.5,100.0,3.1622776601683795,4.5
55.0,0.0,138.5,100.0,2.6101572156825386,4.583333333333333
56.0,0.0,138.5,100.0,2.1544346900318825,4.666666666666667
57.0,0.0,138.5,100.0,1.7782794100389228,4.75
58.0,0.0,138.5,100.0,1.4677992676220706,4.833333333333333
59.0,0.0,138.5,100.0,1.2115276586285877,4.916666666666667
60.0,0.0,138.5,100.0,1.0,5.0
61.0,0.0,138.5,100.0,1.0,5.0
62.0,0.0,138.5,100.0,1.0,5.0
63.0,0.0,138.5,100.0,1.0,5.0
64.0,0.0,138.5,100.0,1.0,5.0
65.0,0.0,138.5,100.0,1.0,5.0
66.0,0.0,138.5,100.0,1.0,5.0
67.0,0.0,138.5,100.0,1.0,5.0
68.0,0.0,138.5,100.0,1.0,5.0
69.0,0.0,138.5,100.0,1.0,5.0
70.0,0.0,138.5,100.0,1.0,5.0
71.0,0.0,138.5,100.0,1.0,5.0
72.0,0.0,138.5,100.0,1.0,5.0
73.0,0.0,138.5,100.0,1.0,5.0
74.0,0.0,138.5,100.0,1.0,5.0
75.0,0.0,138.5,100.0,1.0,5.0
76.0,0.0,138.5,100.0,1.0,5.0
77.0,0.0,138.5,100.0,1.0,5.0
78.0,0.0,138.5,100.0,1.0,5.0
79.0,0.0,138.5,100.0,1.0,5.0
80.0,0.0,138.5,100.0,1.0,5.0
81.0,0.0,138.5,100.0,1.0,5.0
82.0,0.0,138.5,100.0,1.0,5.0
83.0,0.0,138.5,100.0,1.0,5.0
84.0,0.0,138.5,100.0,1.0,5.0
85.0,0.0,138.5,100.0,1.0,5.0
86.0,0.0,138.5,100.0,1.0,5.0
87.0,0.0,138.5,100.0,1.0,5.0
88.0,0.0,138.5,100.0,1.0,5.0
89.0,0.0,138.5,100.0,1.0,5.0
90.0,0.0,138.5,100.0,1.0,5.0
