material,membrane_name,pressure_bar,thickness_nm,pore_size_nm,flux_lmh,modulus_GPa,tensile_strength_MPa,contact_angle_deg,rejection_percent,flux_per_pressure,rejection_efficiency,performance_score,unified_flux_lmh,material_rank
GO,GO,0.1,58.61735698828815,0.3993428306022465,0.6018193064519831,207.0,,32.73844269050346,,6.0181930645198305,,,0.6018193064519831,
GO,GO,0.2,58.61735698828815,0.3993428306022465,1.203638612903966,207.0,,32.73844269050346,,6.01819306451983,,,1.203638612903966,
GO,GO,0.3,58.61735698828815,0.3993428306022465,1.805457919355949,207.0,,32.73844269050346,,6.0181930645198305,,,1.805457919355949,
GO,GO,0.4,58.61735698828815,0.3993428306022465,2.407277225807932,207.0,,32.73844269050346,,6.01819306451983,,,2.407277225807932,
GO,GO,0.5,58.61735698828815,0.3993428306022465,3.009096532259915,207.0,,32.73844269050346,,6.01819306451983,,,3.009096532259915,
GO,GO,0.6,58.61735698828815,0.3993428306022465,3.610915838711898,207.0,,32.73844269050346,,6.0181930645198305,,,3.610915838711898,
GO,GO,0.7,58.61735698828815,0.3993428306022465,4.212735145163881,207.0,,32.73844269050346,,6.0181930645198305,,,4.212735145163881,
GO,GO,0.8,58.61735698828815,0.3993428306022465,4.814554451615865,207.0,,32.73844269050346,,6.0181930645198305,,,4.814554451615865,
GO,GO,0.9,58.61735698828815,0.3993428306022465,5.416373758067848,207.0,,32.73844269050346,,6.0181930645198305,,,5.416373758067848,
GO,GO,1.0,58.61735698828815,0.3993428306022465,6.01819306451983,207.0,,32.73844269050346,,6.01819306451983,,,6.01819306451983,
GO,GO,0.1,57.65846625276664,0.6046059712816051,1.402433712228953,207.0,,28.3293152152541,,14.024337122289529,,,1.402433712228953,
GO,GO,0.2,57.65846625276664,0.6046059712816051,2.804867424457905,207.0,,28.3293152152541,,14.024337122289525,,,2.804867424457905,
GO,GO,0.3,57.65846625276664,0.6046059712816051,4.207301136686858,207.0,,28.3293152152541,,14.024337122289525,,,4.207301136686858,
GO,GO,0.4,57.65846625276664,0.6046059712816051,5.60973484891581,207.0,,28.3293152152541,,14.024337122289525,,,5.60973484891581,
GO,GO,0.5,57.65846625276664,0.6046059712816051,7.012168561144762,207.0,,28.3293152152541,,14.024337122289523,,,7.012168561144762,
GO,GO,0.6,57.65846625276664,0.6046059712816051,8.414602273373715,207.0,,28.3293152152541,,14.024337122289525,,,8.414602273373715,
GO,GO,0.7,57.65846625276664,0.6046059712816051,9.817035985602665,207.0,,28.3293152152541,,14.024337122289522,,,9.817035985602665,
GO,GO,0.8,57.65846625276664,0.6046059712816051,11.21946969783162,207.0,,28.3293152152541,,14.024337122289525,,,11.21946969783162,
GO,GO,0.9,57.65846625276664,0.6046059712816051,12.62190341006057,207.0,,28.3293152152541,,14.024337122289522,,,12.62190341006057,
GO,GO,1.0,57.65846625276664,0.6046059712816051,14.02433712228952,207.0,,28.3293152152541,,14.02433712228952,,,14.02433712228952,
GO,GO,0.1,67.67434729152909,0.6158425631014783,1.239697973438811,207.0,,27.15262807032524,,12.39697973438811,,,1.239697973438811,
GO,GO,0.2,67.67434729152909,0.6158425631014783,2.479395946877621,207.0,,27.15262807032524,,12.396979734388104,,,2.479395946877621,
GO,GO,0.3,67.67434729152909,0.6158425631014783,3.719093920316432,207.0,,27.15262807032524,,12.396979734388108,,,3.719093920316432,
GO,GO,0.4,67.67434729152909,0.6158425631014783,4.958791893755243,207.0,,27.15262807032524,,12.396979734388106,,,4.958791893755243,
GO,GO,0.5,67.67434729152909,0.6158425631014783,6.198489867194054,207.0,,27.15262807032524,,12.396979734388108,,,6.198489867194054,
GO,GO,0.6,67.67434729152909,0.6158425631014783,7.438187840632864,207.0,,27.15262807032524,,12.396979734388108,,,7.438187840632864,
GO,GO,0.7,67.67434729152909,0.6158425631014783,8.677885814071674,207.0,,27.15262807032524,,12.396979734388106,,,8.677885814071674,
GO,GO,0.8,67.67434729152909,0.6158425631014783,9.917583787510486,207.0,,27.15262807032524,,12.396979734388106,,,9.917583787510486,
GO,GO,0.9,67.67434729152909,0.6158425631014783,11.1572817609493,207.0,,27.15262807032524,,12.39697973438811,,,11.1572817609493,
GO,GO,1.0,67.67434729152909,0.6158425631014783,12.39697973438811,207.0,,27.15262807032524,,12.39697973438811,,,12.39697973438811,
GO,GO,0.1,55.36582307187538,0.8085120087171929,2.611750903117453,207.0,,27.17135123214872,,26.117509031174528,,,2.611750903117453,
GO,GO,0.2,55.36582307187538,0.8085120087171929,5.223501806234905,207.0,,27.17135123214872,,26.117509031174524,,,5.223501806234905,
GO,GO,0.3,55.36582307187538,0.8085120087171929,7.835252709352357,207.0,,27.17135123214872,,26.117509031174524,,,7.835252709352357,
GO,GO,0.4,55.36582307187538,0.8085120087171929,10.44700361246981,207.0,,27.17135123214872,,26.117509031174524,,,10.44700361246981,
GO,GO,0.5,55.36582307187538,0.8085120087171929,13.05875451558726,207.0,,27.17135123214872,,26.11750903117452,,,13.05875451558726,
GO,GO,0.6,55.36582307187538,0.8085120087171929,15.67050541870471,207.0,,27.17135123214872,,26.117509031174517,,,15.67050541870471,
GO,GO,0.7,55.36582307187538,0.8085120087171929,18.28225632182217,207.0,,27.17135123214872,,26.11750903117453,,,18.28225632182217,
GO,GO,0.8,55.36582307187538,0.8085120087171929,20.89400722493962,207.0,,27.17135123214872,,26.117509031174524,,,20.89400722493962,
GO,GO,0.9,55.36582307187538,0.8085120087171929,23.50575812805707,207.0,,27.17135123214872,,26.11750903117452,,,23.50575812805707,
