time_min,Pb2+_conc_mg_L,Pb2+_adsorbed_mg_g,Pb2+_saturation_pct,E_coli_cfu_ml,E_coli_log_reduction
0.0,50.0,0.0,0.0,100000.0,0.0
1.0,0.0,138.5,100.0,68129.20690579613,0.16666666666666666
2.0,0.0,138.5,100.0,46415.888336127784,0.3333333333333333
3.0,0.0,138.5,100.0,31622.776601683792,0.5
4.0,0.0,138.5,100.0,21544.34690031884,0.6666666666666666
5.0,0.0,138.5,100.0,14677.992676220694,0.8333333333333334
6.0,0.0,138.5,100.0,10000.0,1.0
7.0,0.0,138.5,100.0,6812.920690579611,1.1666666666666667
8.0,0.0,138.5,100.0,4641.58883361278,1.3333333333333333
9.0,0.0,138.5,100.0,3162.2776601683795,1.5
10.0,0.0,138.5,100.0,2154.4346900318833,1.6666666666666667
11.0,0.0,138.5,100.0,1467.79926762207,1.8333333333333333
12.0,0.0,138.5,100.0,1000.0,2.0
13.0,0.0,138.5,100.0,681.2920690579615,2.1666666666666665
14.0,0.0,138.5,100.0,464.15888336127773,2.3333333333333335
15.0,0.0,138.5,100.0,316.2277660168379,2.5
16.0,0.0,138.5,100.0,215.44346900318845,2.6666666666666665
17.0,0.0,138.5,100.0,146.7799267622069,2.8333333333333335
18.0,0.0,138.5,100.0,100.0,3.0
19.0,0.0,138.5,100.0,68.12920690579615,3.1666666666666665
20.0,0.0,138.5,100.0,46.41588833612777,3.3333333333333335
21.0,0.0,138.5,100.0,31.622776601683793,3.5
22.0,0.0,138.5,100.0,21.544346900318846,3.6666666666666665
23.0,0.0,138.5,100.0,14.67799267622069,3.8333333333333335
24.0,0.0,138.5,100.0,10.0,4.0
25.0,0.0,138.5,100.0,6.812920690579609,4.166666666666667
26.0,0.0,138.5,100.0,4.641588833612782,4.333333333333333
27.0,0.0,138.5,100.0,3.1622776601683795,4.5
28.0,0.0,138.5,100.0,2.1544346900318825,4.666666666666667
29.0,0.0,138.5,100.0,1.4677992676220706,4.833333333333333
30.0,0.0,138.5,100.0,1.0,5.0
31.0,0.0,138.5,100.0,1.0,5.0
32.0,0.0,138.5,100.0,1.0,5.0
33.0,0.0,138.5,100.0,1.0,5.0
34.0,0.0,138.5,100.0,1.0,5.0
35.0,0.0,138.5,100.0,1.0,5.0
36.0,0.0,138.5,100.0,1.0,5.0
37.0,0.0,138.5,100.0,1.0,5.0
38.0,0.0,138.5,100.0,1.0,5.0
39.0,0.0,138.5,100.0,1.0,5.0
40.0,0.0,138.5,100.0,1.0,5.0
41.0,0.0,138.5,100.0,1.0,5.0
42.0,0.0,138.5,100.0,1.0,5.0
43.0,0.0,138.5,100.0,1.0,5.0
44.0,0.0,138.5,100.0,1.0,5.0
45.0,0.0,138.5,100.0,1.0,5.0
46.0,0.0,138.5,100.0,1.0,5.0
47.0,0.0,138.5,100.0,1.0,5.0
48.0,0.0,138.5,100.0,1.0,5.0
49.0,0.0,138.5,100.0,1.0,5.0
50.0,0.0,138.5,100.0,1.0,5.0
51.0,0.0,138.5,100.0,1.0,5.0
52.0,0.0,138.5,100.0,1.0,5.0
53.0,0.0,138.5,100.0,1.0,5.0
54.0,0.0,138.5,100.0,1.0,5.0
55.0,0.0,138.5,100.0,1.0,5.0
56.0,0.0,138.5,100.0,1.0,5.0
57.0,0.0,138.5,100.0,1.0,5.0
58.0,0.0,138.5,100.0,1.0,5.0
59.0,0.0,138.5,100.0,1.0,5.0
60.0,0.0,138.5,100.0,1.0,5.0
61.0,0.0,138.5,100.0,1.0,5.0
62.0,0.0,138.5,100.0,1.0,5.0
63.0,0.0,138.5,100.0,1.0,5.0
64.0,0.0,138.5,100.0,1.0,5.0
65.0,0.0,138.5,100.0,1.0,5.0
66.0,0.0,138.5,100.0,1.0,5.0
67.0,0.0,138.5,100.0,1.0,5.0
68.0,0.0,138.5,100.0,1.0,5.0
69.0,0.0,138.5,100.0,1.0,5.0
70.0,0.0,138.5,100.0,1.0,5.0
71.0,0.0,138.5,100.0,1.0,5.0
72.0,0.0,138.5,100.0,1.0,5.0
73.0,0.0,138.5,100.0,1.0,5.0
74.0,0.0,138.5,100.0,1.0,5.0
75.0,0.0,138.5,100.0,1.0,5.0
76.0,0.0,138.5,100.0,1.0,5.0
77.0,0.0,138.5,100.0,1.0,5.0
78.0,0.0,138.5,100.0,1.0,5.0
79.0,0.0,138.5,100.0,1.0,5.0
80.0,0.0,138.5,100.0,1.0,5.0
81.0,0.0,138.5,100.0,1.0,5.0
82.0,0.0,138.5,100.0,1.0,5.0
83.0,0.0,138.5,100.0,1.0,5.0
84.0,0.0,138.5,100.0,1.0,5.0
85.0,0.0,138.5,100.0,1.0,5.0
86.0,0.0,138.5,100.0,1.0,5.0
87.0,0.0,138.5,100.0,1.0,5.0
88.0,0.0,138.5,100.0,1.0,5.0
89.0,0.0,138.5,100.0,1.0,5.0
90.0,0.0,138.5,100.0,1.0,5.0
