time_min,Pb2+_conc_mg_L
0.0,50.0
1.0,49.583333333333336
2.0,49.166666666666664
3.0,48.75
4.0,48.333333333333336
5.0,47.916666666666664
6.0,47.5
7.0,47.083333333333336
8.0,46.666666666666664
9.0,46.25
10.0,45.833333333333336
11.0,45.416666666666664
12.0,45.0
13.0,44.583333333333336
14.0,44.166666666666664
15.0,43.75
16.0,43.333333333333336
17.0,42.916666666666664
18.0,42.5
19.0,42.083333333333336
20.0,41.666666666666664
21.0,41.25
22.0,40.83333333333333
23.0,40.416666666666664
24.0,40.0
25.0,39.58333333333333
26.0,39.166666666666664
27.0,38.75
28.0,38.33333333333333
29.0,37.916666666666664
30.0,37.5
31.0,37.08333333333333
32.0,36.666666666666664
33.0,36.25
34.0,35.83333333333333
35.0,35.416666666666664
36.0,35.0
37.0,34.58333333333333
38.0,34.166666666666664
39.0,33.75
40.0,33.33333333333333
41.0,32.916666666666664
42.0,32.5
43.0,32.08333333333333
44.0,31.666666666666664
45.0,31.25
46.0,30.833333333333332
47.0,30.416666666666664
48.0,30.0
49.0,29.583333333333332
50.0,29.166666666666664
51.0,28.75
52.0,28.333333333333332
53.0,27.916666666666664
54.0,27.5
55.0,27.083333333333332
56.0,26.666666666666664
57.0,26.25
58.0,25.833333333333332
59.0,25.416666666666664
60.0,25.0
