time_min,Pb2+_conc_mg_L,E_coli_conc_mg_L
0.0,50.0,100000.0
1.0,49.791666666666664,99583.33333333333
2.0,49.583333333333336,99166.66666666667
3.0,49.375,98750.0
4.0,49.166666666666664,98333.33333333333
5.0,48.958333333333336,97916.66666666667
6.0,48.75,97500.0
7.0,48.541666666666664,97083.33333333333
8.0,48.333333333333336,96666.66666666667
9.0,48.125,96250.0
10.0,47.916666666666664,95833.33333333333
11.0,47.708333333333336,95416.66666666667
12.0,47.5,95000.0
13.0,47.291666666666664,94583.33333333333
14.0,47.083333333333336,94166.66666666667
15.0,46.875,93750.0
16.0,46.666666666666664,93333.33333333333
17.0,46.458333333333336,92916.66666666667
18.0,46.25,92500.0
19.0,46.041666666666664,92083.33333333333
20.0,45.833333333333336,91666.66666666667
21.0,45.625,91250.0
22.0,45.416666666666664,90833.33333333333
23.0,45.208333333333336,90416.66666666667
24.0,45.0,90000.0
25.0,44.791666666666664,89583.33333333333
26.0,44.583333333333336,89166.66666666667
27.0,44.375,88750.0
28.0,44.166666666666664,88333.33333333333
29.0,43.958333333333336,87916.66666666667
30.0,43.75,87500.0
31.0,43.541666666666664,87083.33333333333
32.0,43.333333333333336,86666.66666666667
33.0,43.125,86250.0
34.0,42.916666666666664,85833.33333333333
35.0,42.708333333333336,85416.66666666667
36.0,42.5,85000.0
37.0,42.291666666666664,84583.33333333333
38.0,42.083333333333336,84166.66666666667
39.0,41.875,83750.0
40.0,41.666666666666664,83333.33333333333
41.0,41.45833333333333,82916.66666666666
42.0,41.25,82500.0
43.0,41.041666666666664,82083.33333333333
44.0,40.83333333333333,81666.66666666666
45.0,40.625,81250.0
46.0,40.416666666666664,80833.33333333333
47.0,40.20833333333333,80416.66666666666
48.0,40.0,80000.0
49.0,39.791666666666664,79583.33333333333
50.0,39.58333333333333,79166.66666666666
51.0,39.375,78750.0
52.0,39.166666666666664,78333.33333333333
53.0,38.95833333333333,77916.66666666666
54.0,38.75,77500.0
55.0,38.541666666666664,77083.33333333333
56.0,38.33333333333333,76666.66666666666
57.0,38.125,76250.0
58.0,37.916666666666664,75833.33333333333
59.0,37.70833333333333,75416.66666666666
60.0,37.5,75000.0
61.0,37.291666666666664,74583.33333333333
62.0,37.08333333333333,74166.66666666666
63.0,36.875,73750.0
64.0,36.666666666666664,73333.33333333333
65.0,36.45833333333333,72916.66666666666
66.0,36.25,72500.0
67.0,36.041666666666664,72083.33333333333
68.0,35.83333333333333,71666.66666666666
69.0,35.625,71250.0
70.0,35.416666666666664,70833.33333333333
71.0,35.20833333333333,70416.66666666666
72.0,35.0,70000.0
73.0,34.791666666666664,69583.33333333333
74.0,34.58333333333333,69166.66666666666
75.0,34.375,68750.0
76.0,34.166666666666664,68333.33333333333
77.0,33.95833333333333,67916.66666666666
78.0,33.75,67500.0
79.0,33.541666666666664,67083.33333333333
80.0,33.33333333333333,66666.66666666666
81.0,33.125,66250.0
82.0,32.916666666666664,65833.33333333333
83.0,32.70833333333333,65416.666666666664
84.0,32.5,65000.0
85.0,32.291666666666664,64583.33333333333
86.0,32.08333333333333,64166.666666666664
87.0,31.875,63750.0
88.0,31.666666666666664,63333.33333333333
89.0,31.458333333333332,62916.666666666664
90.0,31.25,62500.0
91.0,31.041666666666664,62083.33333333333
92.0,30.833333333333332,61666.666666666664
93.0,30.625,61250.0
94.0,30.416666666666664,60833.33333333333
95.0,30.208333333333332,60416.666666666664
96.0,30.0,60000.0
97.0,29.791666666666664,59583.33333333333
98.0,29.583333333333332,59166.666666666664
99.0,29.375,58750.0
100.0,29.166666666666664,58333.33333333333
101.0,28.958333333333332,57916.666666666664
102.0,28.75,57500.0
103.0,28.541666666666664,57083.33333333333
104.0,28.333333333333332,56666.666666666664
105.0,28.125,56250.0
106.0,27.916666666666664,55833.33333333333
107.0,27.708333333333332,55416.666666666664
108.0,27.5,55000.0
109.0,27.291666666666664,54583.33333333333
110.0,27.083333333333332,54166.666666666664
111.0,26.875,53750.0
112.0,26.666666666666664,53333.33333333333
113.0,26.458333333333332,52916.666666666664
114.0,26.25,52500.0
115.0,26.041666666666664,52083.33333333333
116.0,25.833333333333332,51666.666666666664
117.0,25.625,51250.0
118.0,25.416666666666664,50833.33333333333
119.0,25.208333333333332,50416.666666666664
120.0,25.0,50000.0
