time_min,Pb2+_conc_mg_L,E_coli_conc_mg_L,NaCl_conc_mg_L
0.0,50.0,100000.0,1000.0
1.0,49.72222222222222,99444.44444444444,994.4444444444445
2.0,49.44444444444444,98888.88888888889,988.8888888888889
3.0,49.166666666666664,98333.33333333333,983.3333333333334
4.0,48.888888888888886,97777.77777777778,977.7777777777778
5.0,48.611111111111114,97222.22222222222,972.2222222222222
6.0,48.333333333333336,96666.66666666667,966.6666666666666
7.0,48.05555555555556,96111.11111111111,961.1111111111111
8.0,47.77777777777778,95555.55555555556,955.5555555555555
9.0,47.5,95000.0,950.0
10.0,47.22222222222222,94444.44444444444,944.4444444444445
11.0,46.94444444444444,93888.88888888889,938.8888888888889
12.0,46.666666666666664,93333.33333333333,933.3333333333334
13.0,46.388888888888886,92777.77777777778,927.7777777777778
14.0,46.111111111111114,92222.22222222222,922.2222222222222
15.0,45.833333333333336,91666.66666666667,916.6666666666666
16.0,45.55555555555556,91111.11111111111,911.1111111111111
17.0,45.27777777777778,90555.55555555556,905.5555555555555
18.0,45.0,90000.0,900.0
19.0,44.72222222222222,89444.44444444444,894.4444444444445
20.0,44.44444444444444,88888.88888888889,888.8888888888889
21.0,44.166666666666664,88333.33333333333,883.3333333333334
22.0,43.888888888888886,87777.77777777778,877.7777777777778
23.0,43.611111111111114,87222.22222222222,872.2222222222222
24.0,43.333333333333336,86666.66666666667,866.6666666666667
25.0,43.05555555555556,86111.11111111111,861.1111111111111
26.0,42.77777777777778,85555.55555555556,855.5555555555555
27.0,42.5,85000.0,850.0
28.0,42.22222222222222,84444.44444444444,844.4444444444445
29.0,41.94444444444444,83888.88888888889,838.8888888888889
30.0,41.666666666666664,83333.33333333333,833.3333333333334
31.0,41.388888888888886,82777.77777777778,827.7777777777778
32.0,41.111111111111114,82222.22222222222,822.2222222222222
33.0,40.83333333333333,81666.66666666667,816.6666666666667
34.0,40.55555555555556,81111.11111111111,811.1111111111111
35.0,40.27777777777778,80555.55555555556,805.5555555555555
36.0,40.0,80000.0,800.0
37.0,39.72222222222222,79444.44444444444,794.4444444444445
38.0,39.44444444444444,78888.88888888889,788.8888888888889
39.0,39.166666666666664,78333.33333333333,783.3333333333334
40.0,38.888888888888886,77777.77777777778,777.7777777777778
41.0,38.611111111111114,77222.22222222222,772.2222222222222
42.0,38.33333333333333,76666.66666666667,766.6666666666667
43.0,38.05555555555556,76111.11111111111,761.1111111111111
44.0,37.77777777777778,75555.55555555556,755.5555555555555
45.0,37.5,75000.0,750.0
46.0,37.22222222222222,74444.44444444444,744.4444444444445
47.0,36.94444444444444,73888.88888888889,738.8888888888889
48.0,36.666666666666664,73333.33333333334,733.3333333333334
49.0,36.388888888888886,72777.77777777778,727.7777777777778
50.0,36.111111111111114,72222.22222222222,722.2222222222222
51.0,35.83333333333333,71666.66666666667,716.6666666666667
52.0,35.55555555555556,71111.11111111111,711.1111111111111
53.0,35.27777777777778,70555.55555555556,705.5555555555555
54.0,35.0,70000.0,700.0
55.0,34.72222222222222,69444.44444444444,694.4444444444445
56.0,34.44444444444444,68888.88888888889,688.8888888888889
57.0,34.166666666666664,68333.33333333334,683.3333333333334
58.0,33.888888888888886,67777.77777777778,677.7777777777778
59.0,33.611111111111114,67222.22222222222,672.2222222222222
60.0,33.33333333333333,66666.66666666666,666.6666666666667
61.0,33.05555555555556,66111.11111111111,661.1111111111111
62.0,32.77777777777778,65555.55555555556,655.5555555555555
63.0,32.5,65000.0,650.0
64.0,32.22222222222222,64444.444444444445,644.4444444444445
65.0,31.944444444444443,63888.88888888889,638.8888888888889
66.0,31.666666666666664,63333.333333333336,633.3333333333334
67.0,31.38888888888889,62777.77777777778,627.7777777777778
68.0,31.11111111111111,62222.222222222226,622.2222222222222
69.0,30.833333333333332,61666.666666666664,616.6666666666667
70.0,30.555555555555554,61111.11111111111,611.1111111111111
71.0,30.27777777777778,60555.555555555555,605.5555555555555
72.0,30.0,60000.0,600.0
73.0,29.72222222222222,59444.444444444445,594.4444444444445
74.0,29.444444444444443,58888.88888888889,588.8888888888889
75.0,29.166666666666664,58333.333333333336,583.3333333333334
76.0,28.88888888888889,57777.77777777778,577.7777777777778
77.0,28.61111111111111,57222.222222222226,572.2222222222222
78.0,28.333333333333332,56666.666666666664,566.6666666666667
79.0,28.055555555555554,56111.11111111111,561.1111111111111
80.0,27.77777777777778,55555.555555555555,555.5555555555555
81.0,27.5,55000.0,550.0
82.0,27.22222222222222,54444.444444444445,544.4444444444445
83.0,26.944444444444443,53888.88888888889,538.8888888888889
84.0,26.666666666666664,53333.333333333336,533.3333333333334
85.0,26.38888888888889,52777.77777777778,527.7777777777778
86.0,26.11111111111111,52222.222222222226,522.2222222222222
87.0,25.833333333333332,51666.666666666664,516.6666666666667
88.0,25.555555555555554,51111.11111111111,511.11111111111114
89.0,25.277777777777775,50555.555555555555,505.5555555555556
90.0,25.0,50000.0,500.0
