time_min,Pb2+_conc_mg_L,E_coli_cfu_ml,E_coli_log_reduction
0.0,50.0,100000.0,0.0
1.0,49.72222222222222,85769.58985908942,0.06666666666666667
2.0,49.44444444444444,73564.22544596414,0.13333333333333333
3.0,49.166666666666664,63095.73444801932,0.2
4.0,48.888888888888886,54116.95265464637,0.26666666666666666
5.0,48.611111111111114,46415.888336127784,0.3333333333333333
6.0,48.333333333333336,39810.71705534973,0.4
7.0,48.05555555555556,34145.48873833602,0.4666666666666667
8.0,47.77777777777778,29286.445646252367,0.5333333333333333
9.0,47.5,25118.8643150958,0.6
10.0,47.22222222222222,21544.34690031884,0.6666666666666666
11.0,46.94444444444444,18478.49797422291,0.7333333333333333
12.0,46.666666666666664,15848.931924611132,0.8
13.0,46.388888888888886,13593.563908785256,0.8666666666666667
14.0,46.111111111111114,11659.144011798317,0.9333333333333333
15.0,45.833333333333336,10000.0,1.0
16.0,45.55555555555556,8576.958985908941,1.0666666666666667
17.0,45.27777777777778,7356.422544596414,1.1333333333333333
18.0,45.0,6309.573444801933,1.2
19.0,44.72222222222222,5411.6952654646375,1.2666666666666666
20.0,44.44444444444444,4641.58883361278,1.3333333333333333
21.0,44.166666666666664,3981.0717055349733,1.4
22.0,43.888888888888886,3414.5488738336026,1.4666666666666666
23.0,43.611111111111114,2928.6445646252355,1.5333333333333334
24.0,43.333333333333336,2511.8864315095793,1.6
25.0,43.05555555555556,2154.4346900318833,1.6666666666666667
26.0,42.77777777777778,1847.8497974222907,1.7333333333333334
27.0,42.5,1584.8931924611134,1.8
28.0,42.22222222222222,1359.3563908785254,1.8666666666666667
29.0,41.94444444444444,1165.9144011798319,1.9333333333333333
30.0,41.666666666666664,1000.0,2.0
31.0,41.388888888888886,857.6958985908938,2.066666666666667
32.0,41.111111111111114,735.6422544596413,2.1333333333333333
33.0,40.83333333333333,630.957344480193,2.2
34.0,40.55555555555556,541.1695265464638,2.2666666666666666
35.0,40.27777777777778,464.15888336127773,2.3333333333333335
36.0,40.0,398.1071705534973,2.4
37.0,39.72222222222222,341.4548873833601,2.466666666666667
38.0,39.44444444444444,292.8644564625237,2.533333333333333
39.0,39.166666666666664,251.18864315095797,2.6
40.0,38.888888888888886,215.44346900318845,2.6666666666666665
41.0,38.611111111111114,184.78497974222907,2.7333333333333334
42.0,38.33333333333333,158.48931924611142,2.8
43.0,38.05555555555556,135.93563908785256,2.8666666666666667
44.0,37.77777777777778,116.59144011798323,2.933333333333333
45.0,37.5,100.0,3.0
46.0,37.22222222222222,85.76958985908936,3.066666666666667
47.0,36.94444444444444,73.56422544596414,3.1333333333333333
48.0,36.666666666666664,63.0957344480193,3.2
49.0,36.388888888888886,54.116952654646376,3.2666666666666666
50.0,36.111111111111114,46.41588833612777,3.3333333333333335
51.0,35.83333333333333,39.81071705534973,3.4
52.0,35.55555555555556,34.145488738336006,3.466666666666667
53.0,35.27777777777778,29.286445646252375,3.533333333333333
54.0,35.0,25.118864315095795,3.6
55.0,34.72222222222222,21.544346900318846,3.6666666666666665
56.0,34.44444444444444,18.478497974222908,3.7333333333333334
57.0,34.166666666666664,15.84893192461114,3.8
58.0,33.888888888888886,13.593563908785255,3.8666666666666667
59.0,33.611111111111114,11.659144011798322,3.933333333333333
60.0,33.33333333333333,10.0,4.0
61.0,33.05555555555556,8.576958985908945,4.066666666666666
62.0,32.77777777777778,7.356422544596406,4.133333333333334
63.0,32.5,6.30957344480193,4.2
64.0,32.22222222222222,5.411695265464637,4.266666666666667
65.0,31.944444444444443,4.641588833612782,4.333333333333333
66.0,31.666666666666664,3.981071705534969,4.4
67.0,31.38888888888889,3.4145488738336005,4.466666666666667
68.0,31.11111111111111,2.9286445646252375,4.533333333333333
69.0,30.833333333333332,2.5118864315095824,4.6
70.0,30.555555555555554,2.1544346900318825,4.666666666666667
71.0,30.27777777777778,1.8478497974222907,4.733333333333333
72.0,30.0,1.584893192461114,4.8
73.0,29.72222222222222,1.3593563908785269,4.866666666666666
74.0,29.444444444444443,1.165914401179831,4.933333333333334
75.0,29.166666666666664,1.0,5.0
76.0,28.88888888888889,0.8576958985908947,5.066666666666666
77.0,28.61111111111111,0.7356422544596406,5.133333333333334
78.0,28.333333333333332,0.630957344480193,5.2
79.0,28.055555555555554,0.5411695265464638,5.266666666666667
80.0,27.77777777777778,0.4641588833612782,5.333333333333333
81.0,27.5,0.3981071705534969,5.4
82.0,27.22222222222222,0.3414548873833601,5.466666666666667
83.0,26.944444444444443,0.29286445646252374,5.533333333333333
84.0,26.666666666666664,0.25118864315095824,5.6
85.0,26.38888888888889,0.21544346900318823,5.666666666666667
86.0,26.11111111111111,0.18478497974222907,5.733333333333333
87.0,25.833333333333332,0.15848931924611143,5.8
88.0,25.555555555555554,0.1359356390878527,5.866666666666666
89.0,25.277777777777775,0.11659144011798311,5.933333333333334
90.0,25.0,0.1,6.0
